,TPP Active 5th August 2019-6:15 PM,Current Course,College Name,Matric Percentage (Xth),Matric Year of Passing,Matric BOARD,XII Percentage %,Best of XII or Diploma,XIIth Stream,XII : Year of Passing,XII Board,Diploma %,Diploma : Branch,Diploma : Passing Year,Diploma : College Name & City,Diploma : Board,CGPA Till 6th Sem -20-July-2019,Backlogs,Graduation : Year of Passing,Graduation : Course,Graduation : Stream,Graduation : College,Graduation : University Name,PG CGPA till 2nd Sem - 31 May 2019,Backlogs.1,State,Catagory,Gender,Details Of Additional Course/certification,"Experience (if Any), Company Name","Experience (if Any), Designation","Experience (if Any), Salary (per Year [lpa])","Experience (if Any), Duration Of Work (years Or Months)",Training Done At (write Company/institute Name),Training Location (city),Duration,Project Title (during 6 Week/1-2 Months),Project Software/language Name,BEST of E,BEST of Q,BEST of L,BEST of Write-X,BEST of CP,BEST of Domain,BEST of Automata,AGE,Company Name,Package From (in LPA),Package To (in LPA),Status
260,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2013,CBSE,80.4,80.4,Non - Medical,2016,CBSE,,,,,,7.6,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttarakhand,General,Male,Na,,,,,Niit,Haldwani,Six Weeks,Web Application Using Jsp Servlet,Java,665,855,605,540,705,562,63,23,Cognizant,3,3,On Campus
261,Yes,B.E - CSE,University Institute of Engineering (UIE),79.8,2012,CBSE,81,81,Non - Medical,2015,National Open School (NIOS),,,,,,6.95,1,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,BC,Male,Na,,,,,Na,,,Online Voting System,Oracle,525,810,510,360,525,592,64,23,Cognizant,3,3,On Campus
262,Yes,B.E - CSE,University Institute of Engineering (UIE),79.8,2012,CBSE,81,81,Non - Medical,2015,National Open School (NIOS),,,,,,6.95,1,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,BC,Male,Na,,,,,Na,,,Online Voting System,Oracle,525,810,510,360,525,592,64,23,Mu Sigma,5.5,7.25,On Campus
263,Yes,B.E - CSE,University Institute of Engineering (UIE),93.1,2013,CBSE,85.6,85.6,Non - Medical,2016,UP Board,,,,,,7.02,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Na,,,,,Ams Techub,Mohali,45 Days,,"Html,css, Javascript",570,575,565,540,505,500,75,22,Newgen Software Technologies Limited,4.25,4.25,On Campus
264,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2014,CBSE,88.4,88.4,Non - Medical,2016,CBSE,,,,,,8.81,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Haryana,General,Male,,,,,,Ibm-kvch,Noida ,Six Weeks,People Pulse,Big Data Hadoop,615,590,590,540,545,408,41,21,Capgemini,3.8,3.8,On Campus
265,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2014,CBSE,88.4,88.4,Non - Medical,2016,CBSE,,,,,,8.81,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Haryana,General,Male,,,,,,Ibm-kvch,Noida ,Six Weeks,People Pulse,Big Data Hadoop,615,590,590,540,545,408,41,21,IBM,4.25,4.65,On Campus
266,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2014,CBSE,88.4,88.4,Non - Medical,2016,CBSE,,,,,,8.81,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Haryana,General,Male,,,,,,Ibm-kvch,Noida ,Six Weeks,People Pulse,Big Data Hadoop,615,590,590,540,545,408,41,21,Mu Sigma,5.5,7.25,On Campus
267,Yes,B.E - CSE,University Institute of Engineering (UIE),75,2014,Maharashtra State Board,91.4,91.4,Non - Medical,2016,Telangana Board of Education,,,,,,6.32,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Maharashtra,General,Female,Summer Training In Python From Ams Tech Hub,,,,,Ams Tech Hub,Mohali,Six Weeks,Handwritten Character Recognition Using Neural Networks And Python,Python ,545,725,495,540,305,285,3,22,Cognizant,3,3,On Campus
268,Yes,B.E - CSE,University Institute of Engineering (UIE),85,2014,CBSE,77.2,77.2,Non - Medical,2016,CBSE,,,,,,6.96,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Punjab,OBC,Male,,,,,,Dream Tech Labs,Jalandhar,Six Weeks,Demilitiarized Network,Cisco Packet Tracer,630,665,655,540,505,623,3,23,NihilentÿLimited,3.5,3.5,On Campus
269,Yes,B.E - CSE,University Institute of Engineering (UIE),81.7,2014,CBSE,85,85,Non - Medical,2016,CBSE,,,,,,7.03,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Haryana,General,Male,Na,"Content Created, Huppme (a Gifting Website)",Dwarka,Na(internship),6 Months,Chandigarh University,Mohali,Six Weeks,Website Designing,Visual Studio(2016),710,740,570,540,545,531,87,1,Innovaccer Management Pvt Ltd,6.5,6.5,On Campus
270,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2014,CBSE,86,86,Non - Medical,2016,CBSE,,,,,,8.2,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttarakhand,General,Male,,,,,,Cetpa Infotech,Noida,45 Days,Security On Servers And Hacking,"Bash Launguage,tcl And Kali Tools",745,740,650,540,635,654,75,22,Cognizant,3,3,On Campus
271,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2014,CBSE,86,86,Non - Medical,2016,CBSE,,,,,,8.2,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttarakhand,General,Male,,,,,,Cetpa Infotech,Noida,45 Days,Security On Servers And Hacking,"Bash Launguage,tcl And Kali Tools",745,740,650,540,635,654,75,22,Persistent System Ltd,4.41,8.41,On Campus
272,Yes,B.E - CSE,University Institute of Engineering (UIE),93.1,2014,CBSE,93.4,93.4,Non - Medical,2016,CBSE,,,,,,8.4,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Tamil Nadu,General,Female,Na,,,,,Jivaas Technology ,Chennai ,Six Weeks,Business Module,Django ,700,695,580,540,575,531,60,21,Capgemini,6.8,6.8,On Campus
273,Yes,B.E - CSE,University Institute of Engineering (UIE),93.1,2014,CBSE,93.4,93.4,Non - Medical,2016,CBSE,,,,,,8.4,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Tamil Nadu,General,Female,Na,,,,,Jivaas Technology ,Chennai ,Six Weeks,Business Module,Django ,700,695,580,540,575,531,60,21,Cognizant,3,3,On Campus
274,Yes,B.E - CSE,University Institute of Engineering (UIE),85.5,2013,CBSE,82.2,82.2,Non - Medical,2015,CBSE,,,,,,7.18,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,West Bengal,General,Male,Python Programming - Isoeh Kolkata,,,,,Indian School Of Ethical Hacking,Kolkata,Six Weeks,Steganography Of Images ,Python,595,590,570,540,525,469,11,23,Cognizant,3,3,On Campus
275,Yes,B.E - CSE,University Institute of Engineering (UIE),87,2013,Madhya Pradesh Board,83,83,Non - Medical,2015,Madhya Pradesh Board,,,,,,6.85,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Madhya Pradesh,General,Male,,,,,,Ams Techhub,Mohali,45 Days,,,595,575,495,540,425,500,3,22,CGI,3.39,3.39,On Campus
276,Yes,B.E - CSE,University Institute of Engineering (UIE),91.2,2013,CBSE,81.2,81.2,Non - Medical,2016,CBSE,,,,,,8.38,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Delhi(nct),General,Male,,,,,,Hewlett Peckard,New Delhi,Six Weeks,Web Development ,Php With Wordpress,640,575,640,720,565,500,61,24,Microsoft,9,9,On Campus
277,Yes,B.E - CSE,University Institute of Engineering (UIE),89.69,2014,Punjab School Education Board,93.77,93.77,Non - Medical,2016,Punjab School Education Board,,,,,,7.96,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Punjab,General,Male,Php,,,,,Hk Computers,"Patiala, Punjab",Six Weeks,Online Shopping Of Electronics,Php,640,740,595,540,535,469,43,22,Capgemini,3.8,3.8,On Campus
278,Yes,B.E - CSE,University Institute of Engineering (UIE),88.62,2014,Punjab School Education Board,90.2,90.2,Non - Medical,2016,Punjab School Education Board,,,,,,6.58,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Punjab,SC,Male,,,,,,Accord Computech Pvt Ltd,"Mohali,india",45 Days,Dmz Demilitarized Zone,Networking,525,505,530,540,465,377,3,21,Open Access TechnologyIndia Pvt Ltd,2.7,3.5,On Campus
279,Yes,B.E - CSE,University Institute of Engineering (UIE),78.83,2013,ICSE,88.8,88.8,Non - Medical,2015,CBSE,,,,,,7.18,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,,,,,,Eme Technology,Mohali,Six Weeks,,,595,725,530,720,565,438,71,23,Altudo(Edynamic),4,4,On Campus
280,Yes,B.E - CSE,University Institute of Engineering (UIE),91.2,2013,CBSE,85.2,85.2,Non - Medical,2015,CBSE,,,,,,7.8,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Madhya Pradesh,General,Male,Machine Learning,,,,,Cetpa,Noida,45 Days,Share Market Prediction Using Machine Learning,Machine Learning Python,650,755,700,540,665,715,74,23,Nokia,3,3,On Campus
281,Yes,B.E - CSE,University Institute of Engineering (UIE),90.2,2013,Assam Board,76.4,76.4,Non - Medical,2015,CBSE,,,,,,7.5,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Assam,General,Male,"Aloha-certificate Of Completion,6 Weeks Training In Android",,,,,Informatics -android Training,Delhi,2 Month,App Development-contact Manager,,650,870,630,540,585,408,39,23,Capgemini,3.8,3.8,On Campus
282,Yes,B.E - CSE,University Institute of Engineering (UIE),90.2,2013,Assam Board,76.4,76.4,Non - Medical,2015,CBSE,,,,,,7.5,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Assam,General,Male,"Aloha-certificate Of Completion,6 Weeks Training In Android",,,,,Informatics -android Training,Delhi,2 Month,App Development-contact Manager,,650,870,630,540,585,408,39,23,Wipro,3.5,3.5,On Campus
283,Yes,B.E - CSE,University Institute of Engineering (UIE),87.4,2013,CBSE,87.2,87.2,Non - Medical,2015,CBSE,,,,,,7.19,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Female,Na,Training At Cris,Trainee,,1.5 Month,Cris,Delhi,45 Days,Communication Network Group,Cisco Packet Tracer,465,605,625,540,415,500,3,22,Capgemini,3.8,3.8,On Campus
284,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2013,CBSE,92,92,Non - Medical,2015,CBSE,,,,,,8.64,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Punjab,General,Male,"Nptel Courses( C++, Data Structures With Python, Algorithm Analysis, Computer Architect, Operating System, Networking, Dbms)",,,,,Cetpa,Noida,45 Days,Stock Analysis Using Machine Learning,"Python, Machine Learning, Algorithms",685,695,580,540,615,592,79,23, Hexagon Capability Center India Pvt. Ltd,5.5,5.5,On Campus
285,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2013,CBSE,92,92,Non - Medical,2015,CBSE,,,,,,8.64,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Punjab,General,Male,"Nptel Courses( C++, Data Structures With Python, Algorithm Analysis, Computer Architect, Operating System, Networking, Dbms)",,,,,Cetpa,Noida,45 Days,Stock Analysis Using Machine Learning,"Python, Machine Learning, Algorithms",685,695,580,540,615,592,79,23,Capgemini,3.8,3.8,On Campus
286,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2013,CBSE,92,92,Non - Medical,2015,CBSE,,,,,,8.64,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Punjab,General,Male,"Nptel Courses( C++, Data Structures With Python, Algorithm Analysis, Computer Architect, Operating System, Networking, Dbms)",,,,,Cetpa,Noida,45 Days,Stock Analysis Using Machine Learning,"Python, Machine Learning, Algorithms",685,695,580,540,615,592,79,23,IBM,4.25,4.65,On Campus
287,Yes,B.E - CSE,University Institute of Engineering (UIE),89.4,2013,CBSE,84.2,84.2,Non - Medical,2015,CBSE,,,,,,7.5,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Bihar,General,Male,Cisco Training ,No,No,No,No,"A2it,mohali,punjab6",Mohali,45 Days,Network Security,,500,460,485,540,465,500,3,22,NihilentÿLimited,3.5,3.5,On Campus
288,Yes,B.E - CSE,University Institute of Engineering (UIE),84.67,2013,Rajasthan board of secondary education,89.4,89.4,Non - Medical,2015,,,,,,,7.53,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Rajasthan,General,Male,Na,,,,,Sunshine Software,Jaipur,45 Days,Android,Android Studio,560,605,530,540,495,377,67,24,IBM,4.25,4.65,On Campus
289,Yes,B.E - CSE,University Institute of Engineering (UIE),84.67,2013,Rajasthan board of secondary education,89.4,89.4,Non - Medical,2015,,,,,,,7.53,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Rajasthan,General,Male,Na,,,,,Sunshine Software,Jaipur,45 Days,Android,Android Studio,560,605,530,540,495,377,67,24,Wipro,3.5,3.5,On Campus
290,Yes,B.E - CSE,University Institute of Engineering (UIE),93.23,2014,Punjab School Education Board,91.77,91.77,Non - Medical,2016,Punjab School Education Board,,,,,,7.46,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Punjab,General,Male,,,,,,Numitech Solutions,Ludhiana,45 Days,,Android,475,535,460,360,455,469,33,22,Newgen Software Technologies Limited,4.25,4.25,On Campus
291,Yes,B.E - CSE,University Institute of Engineering (UIE),91.2,2014,CBSE,91.2,91.2,Non - Medical,2016,CBSE,,,,,,7.97,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Punjab,General,Male,,,,,,"City Computers, Nawanshahr ",Nawanshahr ,Six Weeks,Watchman,"Asp. Net, My Sql, Android, Html, Css",650,755,710,540,645,623,87,22,Walmart Labs,6,6,On Campus
292,Yes,B.E - CSE,University Institute of Engineering (UIE),79.33,2014,ICSE,64.05,64.05,Non - Medical,2016,CBSE,,,,,,7.4,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,West Bengal,General,Male,,,,,,Ibm Core,Mohali,Six Weeks,Eme,Php,700,740,655,720,575,531,5,22,Capgemini,3.8,3.8,On Campus
293,Yes,B.E - CSE,University Institute of Engineering (UIE),79.33,2014,ICSE,64.05,64.05,Non - Medical,2016,CBSE,,,,,,7.4,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,West Bengal,General,Male,,,,,,Ibm Core,Mohali,Six Weeks,Eme,Php,700,740,655,720,575,531,5,22,Cognizant,3,3,On Campus
294,Yes,B.E - CSE,University Institute of Engineering (UIE),79.33,2014,ICSE,64.05,64.05,Non - Medical,2016,CBSE,,,,,,7.4,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,West Bengal,General,Male,,,,,,Ibm Core,Mohali,Six Weeks,Eme,Php,700,740,655,720,575,531,5,22,Wipro,3.5,3.5,On Campus
295,Yes,B.E - CSE,University Institute of Engineering (UIE),76,2013,CBSE,70.06,70.06,Non - Medical,2015,CBSE,,,,,,7.34,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Jharkhand,OBC,Male,Python Programming,,,,,Aptech Computer Education,Siliguri,Six Weeks,Restaurant Management System,Python,560,590,520,360,535,531,18,21,Capgemini,3.8,3.8,On Campus
296,Yes,B.E - CSE,University Institute of Engineering (UIE),76,2013,CBSE,70.06,70.06,Non - Medical,2015,CBSE,,,,,,7.34,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Jharkhand,OBC,Male,Python Programming,,,,,Aptech Computer Education,Siliguri,Six Weeks,Restaurant Management System,Python,560,590,520,360,535,531,18,21,Cognizant,3,3,On Campus
297,Yes,B.E - CSE,University Institute of Engineering (UIE),83.6,2014,CBSE,71.2,71.2,Non - Medical,2016,CBSE,,,,,,7.38,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Jammu And Kashmir,General,Male,Core Java,,,,,Nit Srinagar,Srinagar,Six Weeks,Chat Server And Online Examination System ,Java,605,665,540,720,475,500,35,23,Capgemini,3.8,3.8,On Campus
298,Yes,B.E - CSE,University Institute of Engineering (UIE),83.6,2014,CBSE,71.2,71.2,Non - Medical,2016,CBSE,,,,,,7.38,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Jammu And Kashmir,General,Male,Core Java,,,,,Nit Srinagar,Srinagar,Six Weeks,Chat Server And Online Examination System ,Java,605,665,540,720,475,500,35,23,Cognizant,3,3,On Campus
299,Yes,B.E - CSE,University Institute of Engineering (UIE),81.7,2013,CBSE,73.6,73.6,Non - Medical,2016,CBSE,,,,,,7.99,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Android App Development,,,,,Tcil-it Chandigarh,Sector 22-d,45 Days,Blood Donation Directory App,"Java, Android",595,695,565,540,715,623,100,22,Cognizant,3,3,On Campus
300,Yes,B.E - CSE,University Institute of Engineering (UIE),81.7,2013,CBSE,73.6,73.6,Non - Medical,2016,CBSE,,,,,,7.99,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Android App Development,,,,,Tcil-it Chandigarh,Sector 22-d,45 Days,Blood Donation Directory App,"Java, Android",595,695,565,540,715,623,100,22,UHG,5,5,On Campus
301,Yes,B.E - CSE,University Institute of Engineering (UIE),89.3,2013,CBSE,79.6,79.6,Non - Medical,2015,Rajasthan board of secondary education,,,,,,8.03,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Rajasthan,General,Male,Na,Hackerearth ,Campus Ambassador ,,2 Months,Ams Techub,Mohali ,Six Weeks,Webcam Motion Detector,Python ,580,770,655,540,605,500,13,22,UHG,5,5,On Campus
302,Yes,B.E - CSE,University Institute of Engineering (UIE),81.7,2013,CBSE,62.4,62.4,Non - Medical,2015,CBSE,,,,,,7.22,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Assam,OBC,Male,Na,,,,,Techlive Solutions,Mohali,Six Weeks,Web Cam Motion Detector ,Python ,490,505,480,540,495,315,38,23,Cognizant,3,3,On Campus
303,Yes,B.E - CSE,University Institute of Engineering (UIE),89.16,2014,ICSE,73,73,Non - Medical,2016,ICSE,,,,,,6.67,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,West Bengal,General,Female,Microsoft Technical Associate Certified Fundamentals Of  Networking   Google Digital Marketing  ,Na,Na,,,National Institute Of Industrial Training,Kolkata,45 Days,Cisco Telephonic Wireless Configuration Over Voice Over Ip Phones,,570,445,510,720,405,408,0,22,Cognizant,3,3,On Campus
304,Yes,B.E - CSE,University Institute of Engineering (UIE),90.28,2014,Himachal Pradesh Board,78.6,78.6,Non - Medical,2016,Himachal Pradesh Board,,,,,,6.79,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Female,Ccna ,,,,,A2it ,,,,,490,445,485,540,515,469,0,2,ÿDiverseÿLynxÿIndia,2.7,2.7,On Campus
305,Yes,B.E - CSE,University Institute of Engineering (UIE),90.28,2014,Himachal Pradesh Board,78.6,78.6,Non - Medical,2016,Himachal Pradesh Board,,,,,,6.79,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Female,Ccna ,,,,,A2it ,,,,,490,445,485,540,515,469,0,2,TechÿMahindraÿLtd,3.25,3.25,On Campus
306,Yes,B.E - CSE,University Institute of Engineering (UIE),91.2,2014,CBSE,72,72,Non - Medical,2016,CBSE,,,,,,7.59,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Bihar,General,Male,Networking,,,,,A2it,Mohali,Six Weeks,Network Enterprise Configuration,Networking,560,505,505,540,425,408,0,22,EVRYÿIndiaÿPvt. Ltd,3.3,3.3,On Campus
307,Yes,B.E - CSE,Apex Institute of Technology (AIT),86.76,2014,Punjab School Education Board,76.88,76.88,Non - Medical,2016,Punjab School Education Board,,,,,,7.12,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Punjab,General,Male,Hcna Certified ,,,,,Cisco Chandigarh University,Morinda,45 Days,Xen Server,Linux Base Cloud,630,535,595,540,595,469,13,21,Cognizant,3,3,On Campus
308,Yes,B.E - CSE,University Institute of Engineering (UIE),85.8,2013,CBSE,84.2,84.2,Non - Medical,2015,CBSE,,,,,,8.16,1,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Madhya Pradesh,General,Male,Na,Na,Na,Na,Na,A2it,Mohali,Other,Wan Design For Multiple Office Connectivity,"Cisco Packet Tracer ,gns3",615,635,530,540,585,562,50,22,Infogain,5,6.5,On Campus
309,Yes,B.E - CSE,University Institute of Engineering (UIE),87.4,2013,CBSE,72,72,Non - Medical,2015,CBSE,,,,,,6.94,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Jharkhand,OBC,Male,Infosec Expert By Cyberops,,,,,Cyberops,Chandigarh,45 Days,Cryptography,Python,710,710,520,540,435,346,0,22,Capgemini,3.8,3.8,On Campus
310,Yes,B.E - CSE,University Institute of Engineering (UIE),87.4,2013,CBSE,72,72,Non - Medical,2015,CBSE,,,,,,6.94,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Jharkhand,OBC,Male,Infosec Expert By Cyberops,,,,,Cyberops,Chandigarh,45 Days,Cryptography,Python,710,710,520,540,435,346,0,22,Wipro,3.5,3.5,On Campus
311,Yes,B.E - CSE,University Institute of Engineering (UIE),72.2,2014,CBSE,61.8,61.8,Non - Medical,2016,CBSE,,,,,,6.25,1,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Na,,,,,"Software Testing, Eh1 Infotech",Mohali,45 Days,"Testing Using Selenium, Jmeter, Loadrunner And Appium",Java,580,605,570,540,465,438,0,21,Capgemini,3.8,3.8,On Campus
312,Yes,B.E - CSE,University Institute of Engineering (UIE),72.2,2014,CBSE,61.8,61.8,Non - Medical,2016,CBSE,,,,,,6.25,1,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Na,,,,,"Software Testing, Eh1 Infotech",Mohali,45 Days,"Testing Using Selenium, Jmeter, Loadrunner And Appium",Java,580,605,570,540,465,438,0,21,Cognizant,3,3,On Campus
313,Yes,B.E - CSE,University Institute of Engineering (UIE),72.2,2014,CBSE,61.8,61.8,Non - Medical,2016,CBSE,,,,,,6.25,1,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Na,,,,,"Software Testing, Eh1 Infotech",Mohali,45 Days,"Testing Using Selenium, Jmeter, Loadrunner And Appium",Java,580,605,570,540,465,438,0,21,Wipro,3.5,3.5,On Campus
314,Yes,B.E - CSE,University Institute of Engineering (UIE),79.8,2014,CBSE,71.4,71.4,Non - Medical,2016,CBSE,,,,,,7.46,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Delhi(nct),General,Male,Certified Ethical Hacker (ec Council),,,,,Codec Networks ,Delhi,Six Weeks,Vulnerability Assessment And Penetration Testing ,"Accunetix, Nessus, Kali Linux",615,710,605,540,605,469,26,1,Cognizant,3,3,On Campus
315,Yes,B.E - CSE,University Institute of Engineering (UIE),79.8,2014,CBSE,71.4,71.4,Non - Medical,2016,CBSE,,,,,,7.46,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Delhi(nct),General,Male,Certified Ethical Hacker (ec Council),,,,,Codec Networks ,Delhi,Six Weeks,Vulnerability Assessment And Penetration Testing ,"Accunetix, Nessus, Kali Linux",615,710,605,540,605,469,26,1,Mu Sigma,5.5,7.25,On Campus
316,Yes,B.E - CSE,University Institute of Engineering (UIE),79.8,2014,CBSE,71.4,71.4,Non - Medical,2016,CBSE,,,,,,7.46,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Delhi(nct),General,Male,Certified Ethical Hacker (ec Council),,,,,Codec Networks ,Delhi,Six Weeks,Vulnerability Assessment And Penetration Testing ,"Accunetix, Nessus, Kali Linux",615,710,605,540,605,469,26,1,Wipro,3.5,3.5,On Campus
317,Yes,B.E - CSE,University Institute of Engineering (UIE),87.14,2013,Himachal Pradesh Board,74.6,74.6,Non - Medical,2015,Himachal Pradesh Board,,,,,,7.16,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Male,Web Development,"Verzeo , Tcil- It Chandigarh",Campus Ambassador,,6 Months,Tcil-it,Chandigarh,45 Days,E-cops Online Crime Investigation System,"Html , Css, Jscript, Php ",545,415,395,540,385,408,0,21,IBM,4.25,4.65,On Campus
318,Yes,B.E - CSE,University Institute of Engineering (UIE),87.14,2013,Himachal Pradesh Board,74.6,74.6,Non - Medical,2015,Himachal Pradesh Board,,,,,,7.16,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Male,Web Development,"Verzeo , Tcil- It Chandigarh",Campus Ambassador,,6 Months,Tcil-it,Chandigarh,45 Days,E-cops Online Crime Investigation System,"Html , Css, Jscript, Php ",545,415,395,540,385,408,0,21,Wipro,3.5,3.5,On Campus
319,Yes,B.E - CSE,University Institute of Engineering (UIE),94,2014,J&K State Board of School Education,67,67,Non - Medical,2016,CBSE,,,,,,7.99,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Jammu And Kashmir,General,Female,"C++ With Datastructures ,coding Ninjas",Na,Na,Na,Na,Coding Ninjas,Delhi,Six Weeks,Libraries Of Datastructures And Algorithms,C++,605,415,540,720,675,408,10,22,Mu Sigma,5.5,7.25,On Campus
320,Yes,B.E - CSE,University Institute of Engineering (UIE),83.2,2013,ICSE,72.8,72.8,Non - Medical,2015,Bihar School Examination Board,,,,,,7.11,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Bihar,OBC,Male, ccna,,,,,A2it,Mohali,45 Days,Network Configuration With Lan And Wan,Cisco Packet Tracer,570,590,520,180,565,531,0,22,American CyberSystems (ACS Group),2.16,2.5,On Campus
321,Yes,B.E - CSE,University Institute of Engineering (UIE),91.2,2013,CBSE,77,77,Non - Medical,2015,Bihar School Examination Board,,,,,,7.33,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Bihar,General,Male,Na,Na,Na,Na,Na,Hpes,Noida,Six Weeks,Enterprise Network,Cisco Packet Tracer,545,740,505,180,555,531,0,21,MothersonSumiÿINfotechÿ&ÿDesignsÿLimited,3.5,3.5,On Campus
322,Yes,B.E - CSE,University Institute of Engineering (UIE),91.2,2013,CBSE,77,77,Non - Medical,2015,Bihar School Examination Board,,,,,,7.33,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Bihar,General,Male,Na,Na,Na,Na,Na,Hpes,Noida,Six Weeks,Enterprise Network,Cisco Packet Tracer,545,740,505,180,555,531,0,21,DXCÿTechnology,3.6,3.6,On Campus
323,Yes,B.E - CSE,University Institute of Engineering (UIE),89.3,2014,CBSE,69.4,69.4,Non - Medical,2016,CBSE,,,,,,7.98,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Haryana,General,Male,Networking Certification,,,,,A2it,Mohali,Six Weeks,Wan Design For Multiple Location With Security,Networking,710,770,565,540,525,623,34,22,Capgemini,3.8,3.8,On Campus
